"DC","DSB","Lon","Lat","Anch","Mun","LogAnch"
12.62664628,-23.87863949,-77.19840708,-12.18442625,0.032847,0,0.032319066873504
24.5263834,-10.10470487,-77.86965125,-11.17215125,14.897197,0,2.76614280437722
21.11929284,-16.85584765,-77.03742429,-12.41227048,156.161666,0,5.05727499529582
19.25555089,9.262742743,-73.35587083,-16.5685,5.34838,7.002952,1.8481996622462
8.682273332,-21.73878688,-77.96246667,-10.63436667,236.075242,0,5.46837756754329
8.573864377,-31.54309093,-77.59933333,-11.41192583,77.086676,20.652199,4.35781944049893
8.606619872,-49.07941637,-76.31588417,-13.36144917,49.41322,0,3.92025344226958
6.20068172,-67.77755406,-79.85718218,-7.02631782,1612.730855,0,7.38630407841891
4.500797312,-5.375330635,-75.39781917,-15.1843475,49.786795,0,3.92763637984905
6.352248811,-32.79634387,-80.91620175,-5.63191667,151.248271,0,5.02551255020368
6.019472933,-96.29110437,-79.04719449,-8.22899725,8.316844,0,2.23182394474112
3.559845534,-6.264236229,-73.6665825,-16.262,1.449576,564.383273,0.895914948355324
7.784768419,-70.12263213,-80.07977343,-6.7586099,0,0,0
7.781178277,-25.26692953,-76.71081375,-12.75553917,0.066046,0,0.0639564767826146
6.498575151,-24.48336794,-76.51686398,-13.09093199,1266.811786,0,7.14504769022585
5.68874923,-18.13359288,-80.83130014,-6.3277916,108.104678,0,4.69230777001328
79.39331222,3.08007093,-78.88306958,-10.30316667,820.798282,0,6.71149496591415
5.765456842,-78.19638463,-78.43382167,-9.56233333,0.1288,16.87246,0.121155121556467
2.922507462,-3.08019495,-81.16942945,-6.00932055,210.549262,0,5.354457888623
49.00214056,-53.7223817,-79.14208543,-9.00545938,162.143252,0,5.09462866147295
12.25549991,-17.29377946,-76.89914542,-12.56897875,183.964128,8.694074,5.22016190357406
7.088643499,-23.42130236,-78.0073,-10.5412,0.273997,0,0.24215920235913
32.07356405,7.741263711,-81.33,-5.63236667,26.809549,0,3.32537945092631
28.44699013,-11.60015804,-77.42565599,-12.13644466,319.309458,0,5.76928758474612
17.13650706,13.18375893,-74.91050875,-15.71800875,3.042559,54.800069,1.3968779072915
7.331918001,-105.0843775,-78.85757871,-8.58278936,80.688507,0,4.40291331877594
4.120877403,-21.26994222,-76.00926355,-14.52960623,38.227363,19.372811,3.66937453899709
5.433051306,-30.95402997,-77.68981917,-11.06831917,5.62312,0,1.89056655801604
3.301300989,-31.52555866,-77.79385991,-10.77888019,137.201065,0,4.92870961752674
28.00208275,-3.457271673,-78.06607708,-10.80033333,77.617649,0,4.36459621621412
72.97081174,-2.775861398,-80.10898072,-7.87663203,0,0,0
7.482026031,-36.10508033,-76.28871667,-13.68826392,1462.543332,0,7.28861571416646
19.94313224,-64.95236616,-79.48458614,-7.99456667,355.530896,0,5.87642090089581
1.847480019,-17.41265077,-76.40750973,-13.85258614,496.429802,0,6.20945444513536
18.44134544,15.88485479,-75.1661125,-15.58616667,13.467735,0,2.67192099763789
24.76927415,12.32753801,-81.37032088,-5.8365,71.954348,0,4.28983387566008
12.27891925,-16.16346599,-80.62593788,-6.49452727,122.310172,0,4.81470290473995
2.752747097,-27.73781648,-77.92907388,-10.58495223,251.6244,0,5.53190380065911
13.58473995,-79.37702678,-78.71415375,-9.24332042,0.787261,0,0.580684280352836
9.488032804,-42.68385465,-77.2455,-11.90835125,1183.496999,597.54161,7.07707349003717
3.723160104,-78.65581791,-78.40670927,-9.58962406,2.549437,5.131896,1.26678899936106
5.338195748,-3.58468888,-81.1955,-5.86583333,83.554407,65.662049,4.43739519699037
2.247668311,-26.35058313,-76.51167532,-13.02515737,478.34153,0,6.17241334960576
41.07118492,-60.97182851,-79.26974042,-8.59857375,0.205273,0,0.186706097299277
28.5329178,-44.01243615,-79.68854042,-7.84654042,3142.870062,0,8.05320982381463
16.17541593,-49.29724886,-79.65734958,-7.61090812,8.87669,0,2.29017743538504
14.30828055,5.421235048,-73.14758167,-16.59208167,3.211117,14.647146,1.43772793316807
27.60270014,-74.9461884,-78.97516667,-8.90595958,598.438008,0,6.39599256294897
5.206358223,1.856253255,-74.49731782,-15.79039109,338.830461,0,5.82844684912824
13.42014719,-4.118111445,-72.7905,-16.753,3.505621,256.307224,1.50532572839715
6.684551858,-17.79315888,-75.57341171,-14.93548919,17.123692,2819.64635,2.89722003261944
25.18264198,-48.24869594,-80.02720367,-7.107287,15.58015,0,2.80820619671086
92.97329604,5.14645841,-79.14397583,-9.96633333,0.016882,0,0.0167410828027514
4.40801546,-5.420306381,-81.1810284,-5.85716667,14.230159,200.015093,2.72327760677378
6.733250106,-63.61114366,-79.50287542,-7.76470875,0.989871,0,0.688069812514624
38.99577402,18.27593739,-75.87933456,-15.10963456,2102.728042,0,7.65146630789855
45.82311305,14.42131569,-78.21,-10.87782708,47.054412,0,3.87233395222078
14.57094505,8.80684338,-81.28457,-5.93757,0.410617,0,0.344027197328566
2.00399508,-31.60775964,-76.30289129,-13.77236592,350.497724,0,5.86220323612307
27.13376638,-2.740437231,-77.0171025,-12.6375,6.182509,0,1.97164876491612
7.708290945,-41.99855044,-76.37416667,-13.27769958,67.640757,0,4.22888648367367
6.126789387,-4.733478549,-73.36399708,-16.39400292,6.972985,104.087111,2.07605895216903
4.061476856,-11.84121064,-74.13583333,-15.95474875,5.871795,111.979039,1.92742535303793
38.54572319,8.012309429,-76.857765,-13.05343167,9.019968,567.511404,2.30457990203884
64.43763805,-36.84209382,-79.53097212,-8.50662212,423.105541,0,6.04998234170998
28.36726409,23.35802218,-74.96588458,-15.80533333,4.350825,0,1.67725075462693
32.61998707,11.84369069,-76.02264667,-14.95848,401.755166,0,5.99832884879046
26.67935636,6.847892926,-75.96827375,-14.92766667,61.255635,3.464794,4.13124905333629
11.22203788,-21.74651582,-76.63552333,-12.88912,317.152573,0,5.76253105702626
40.15991968,4.734671985,-77.39075875,-12.36466667,109.391362,0,4.70403188802825
24.59302029,-1.812410118,-80.7426372,-6.56167693,0,0,0
21.68720109,5.033926032,-72.98389649,-16.71364649,5.793694,0,1.91599482898312
75.90276688,-23.69214437,-79.28517079,-9.33276873,307.809087,0,5.73272324453113
7.562391934,-36.90137862,-76.288,-13.66730982,1996.591427,0,7.59969744730637
18.98265672,14.81120916,-74.91950917,-15.73250917,1.904603,0,1.06629672003549
30.11335029,11.84933543,-76.67825583,-13.914,55.409732,0,4.03264169680991
7.718433191,-4.178472547,-75.33602792,-15.26613875,0.183348,0,0.168347709108602
52.76281779,-31.65381997,-79.74681626,-8.14553293,593.963097,0,6.38849938177346
7.259801891,-3.948254374,-75.32615333,-15.28001333,5.709649,0,1.90354663963028
38.02828916,-46.49551201,-79.62992289,-8.07803645,9316.604657,0,9.13966086359513
19.36068152,-52.11444581,-79.61070792,-7.81370792,0.029535,0,0.0291072439937834
14.67260022,-1.807304827,-81.05234439,-6.26091386,2.822345,0,1.34086410862025
73.7547485,-18.74130994,-79.05738906,-9.67973333,24.02641606,0,3.21993190941455
50.85314896,-51.90650561,-79.15691964,-9.01341964,25.420402,0,3.27413651472407
10.31301812,-22.81273188,-76.6525,-12.85951875,0.749396,0,0.559270585502775
76.76198547,-15.73077286,-79.07870337,-9.69690337,3384.390158,0,8.12722443956107
4.615037249,-2.356958238,-73.12991,-16.495,391.793779,0,5.97328473877852
23.4765183,14.60218006,-73.19066667,-16.665,1.375186,5.934754,0.865075750209557
21.64016943,-1.168223803,-75.71491394,-15.01575465,9.140342,0,2.31652172540492
26.18573191,-75.60395624,-79.15236625,-8.53069958,25.000162,0,3.2581027687713
7.904454442,-41.90752573,-80.70633333,-3.609085,0,0,0
44.37758871,14.82707087,-76.78272339,-13.7310367,38.103735,0,3.66621798672584
37.77152222,6.653746061,-77.95125134,-11.47201935,223.020382,0,5.41173703878703
26.91286686,16.97794868,-76.4981525,-14.30098583,0.382766,0,0.324085840970164
81.34529327,-5.670921627,-79.05115458,-9.91416667,603.05911,0,6.40367205738483
42.09658537,9.369346054,-76.99590208,-12.89595104,0,0,0
11.82360162,-68.85679674,-80.04395135,-6.87168468,26770.1747,0,10.195081016762
17.92350111,-8.214117025,-76.12884125,-14.5755,42.318087,150.78887,3.76857026141626
12.01967571,-3.412579014,-73.31891292,-16.51091292,1.526228,18.129372,0.926727281137655
22.83548211,-8.103002007,-77.8324842,-11.4048171,49.207036,0,3.91615517623883
82.35908996,-3.728813978,-80.62178148,-7.20596667,0,0,0
4.800594123,-21.95219359,-76.01604875,-14.51406918,19.821297,304.76995,3.03597635711587
8.129472262,-25.42113806,-77.67494875,-11.37283333,23.882898,1232.853385,3.21418074018749
4.728208545,6.075054732,-74.07904323,-16.01829011,4.982417,11.392863,1.78882466690557
5.938049511,-40.45546985,-80.34899832,-6.57090749,18.67145,0,2.97916834600332
47.69349952,18.04807665,-77.17933333,-12.73335125,0.838092,0,0.608728077087779
10.54355908,3.732141949,-81.24633333,-5.90327792,4.461458,72.995403,1.69771578707689
31.19066007,-42.30643531,-79.94693496,-7.29288496,218.40989,0,5.39094162430922
5.681804513,-97.48315602,-78.98583542,-8.41232917,13902.83187,0,9.53991975522838
8.093974932,-67.57089198,-79.78320669,-7.11983552,36.066014,0,3.61270048507968
30.07723408,8.807025123,-76.13000593,-14.82844463,2.052951,0,1.11610866383685
32.9728438,17.37657443,-81.40678828,-5.4232,3794.583856,0,8.24159352674458
9.424517332,-23.38527607,-76.661,-12.84470417,0.049743,0,0.0485453723055865
4.882505362,-1.502931693,-74.56083333,-15.73716667,0.249585,1.007105,0.222811496190009
42.39158946,9.687515789,-78.29828855,-10.68972761,21.024815,0,3.092169772241
26.7248611,9.138234176,-81.32324167,-5.4243,582.563201,0,6.36915275948579
9.741967916,-3.135642071,-75.26759458,-15.42326125,1.339732,10.115153,0.850036392896029
13.17041389,-26.79725201,-77.29298281,-12.06386614,98.383876,76.944376,4.59898988722485
16.27931071,-0.241365224,-81.06696073,-6.26909703,2452.905446,0,7.80543609396619
3.204070625,-7.832855923,-73.60275,-16.26883333,0.572094,58.047075,0.452408488656938
26.02355014,-6.947500593,-76.86819736,-12.81694356,22.45601,104.036335,3.1551267520343
49.63181646,-7.300490881,-77.6242275,-12.00866667,0,0,0
73.33276876,-12.02795293,-78.98682292,-9.87883333,4029.922284,0,8.30175048334808
4.244820299,-20.71867833,-76.00247123,-14.54527421,6.050231,34.730155,1.95306038224483
77.20966212,-14.10904242,-79.80556792,-8.41540125,0,0,0
25.89921048,14.63918,-73.9347508,-16.36691747,4.496556,0,1.70412171428653
5.886447827,-29.59951008,-80.93386032,-5.56600634,36.992596,0,3.63739129863693
9.756172325,-20.92908469,-77.72832912,-11.34626456,411.118895,59.074429,6.02131188781539
45.98474565,14.2995183,-76.91859708,-13.08776375,1157.493353,469.091381,7.05487560626426
9.069372544,-10.35765087,-76.22723583,-14.3245975,143.432467,1979.69018,4.97281204190606
36.98419442,-44.87759362,-80.24606146,-6.99170573,0.493524,0,0.401138428179998
19.6538469,7.021559857,-81.32058483,-5.8305,5598.942008,0,8.63051152095533
44.89901256,-67.22831192,-79.17363333,-8.7717,369.696828,0,5.91538455333562
5.593546745,-19.66156273,-75.98931128,-14.57671076,91.272257,125.071546,4.52474352211281
4.186313522,-63.99730316,-79.51751549,-7.61286785,22.509955,0,3.15742394847103
17.85714544,8.96086536,-73.1642725,-16.6205,3.134424,0,1.4193480201028
6.539875265,-47.70188286,-76.25081667,-13.5009817,887.685646,0,6.78974356893176
28.70413099,19.01666401,-75.42071625,-15.51021625,0,0,0
16.37049482,-86.08705822,-78.88550875,-8.85700875,0.119053,0,0.112482791925768
11.19080561,-37.40744401,-77.52917417,-11.47817417,3.774456,1398.544054,1.56328004074098
7.615690757,-44.02833445,-77.4679764,-11.47647847,20.023794,0,3.04565484392847
19.19939998,-11.81786344,-76.69414208,-12.96016667,59.809885,702.478447,4.1077523579939
65.39447355,-45.34961222,-79.34941481,-8.87731481,1582.175646,0,7.36718801140096
3.19204163,-5.667101563,-73.682665,-16.26466667,0.204393,530.020772,0.185975705585968
10.65973605,-6.196785948,-74.174,-16.00312667,8.067521,114.23667,2.20469890813584
7.059988883,-45.20594659,-77.25183333,-11.85835208,0.16032,117.903284,0.148695829144294
21.94049386,2.502655427,-76.60254678,-13.87304678,367.770146,0,5.91017353938203
6.976062028,1.531627577,-74.68609915,-15.71018163,397.528824,7,5.98777982685665
3.664005882,-78.08969678,-78.40133333,-9.60558229,5.095552,22.197155,1.80755932487011
10.91850433,-24.55024089,-77.23540708,-12.14942625,0.062071,0,0.0602207755756356
12.99023949,-19.19991499,-76.6345,-12.9275,1146.48086,555.199429,7.04532426205703
65.67350346,20.65851843,-76.93671833,-13.58016667,607.805891,0,6.41149948291327
4.054158625,-104.2081619,-78.88104667,-8.52468667,258.530104,0,5.5588727035847
25.49208318,-29.69531707,-77.41839625,-11.89066667,58.30285,0,4.08265736555706
53.34829058,20.67846075,-76.97851417,-13.12133333,2.876968,0,1.35505340485024
2.941303915,-25.62853322,-76.52832353,-12.99556961,451.901326,0,6.11567427835651
15.97624813,-15.5148781,-76.66433333,-12.94366667,131.608229,1237.61233,4.88739913464972
3.232212546,-3.538899283,-81.16397853,-6.02513333,55.282681,0,4.03038686792751
7.019871117,-95.58995198,-79.05050208,-8.23832917,11.962257,133.848698,2.56204182699613
5.848613375,1.084383235,-74.51933333,-15.75798333,1174.291416,1175.80484,7.06927140944499
4.356859724,-24.67883142,-76.5572,-12.95457492,27.882739,0,3.36324415024775
55.74699809,-25.82272405,-78.74429688,-9.96983229,35.244277,0,3.59028149297491
10.95106893,-1.302778361,-73.47045262,-16.38211929,78.786454,550.111271,4.37935374067327
29.50648279,21.22927519,-74.45218729,-16.0885079,4.977476,119.360608,1.78799840528582
33.87102683,1.649985303,-78.33833333,-10.4655,54.07192,0,4.00863996738426
15.37847349,-5.257417348,-76.01353299,-14.75534983,524.525737,18.908249,6.26439916533084
26.71592719,8.107558948,-76.64758794,-13.89825461,187.490071,0,5.2390453317607
60.1223694,-21.89255821,-78.54233667,-10.59317,0,0,0
7.947701082,-94.73148326,-78.79230167,-8.85369833,21.362335,0,3.10737807038392
70.41934127,-5.476213221,-78.80948625,-10.26131958,555.611806,0,6.32186805979031
27.1961304,-10.29530928,-77.096906,-12.445703,243.458998,0,5.49904759751064
11.62817912,7.98711919,-74.88342421,-15.67425754,0.236129,75.160402,0.21198472252148
2.295506705,-28.01378975,-77.90122124,-10.62724543,1219.382649,0,7.10691973527176
29.08086074,16.2511164,-81.29753375,-3.95116667,215.375329,0,5.37701453400359
46.34153001,-54.0648539,-79.0367,-9.18913781,17.276623,22.538286,2.905622811542
49.32739444,9.194987009,-76.86100524,-13.28996929,119.759822,0,4.79380363083954
58.69575844,-37.36815096,-79.06716667,-9.45216667,3.660264,0,1.53907209889339
19.71286336,-9.905552233,-76.95776958,-12.60410292,1.095751,0,0.739911961691865
32.73044727,-22.99640982,-77.4781875,-11.92402083,26.026472,0,3.29681683012705
53.80489601,-1.561414172,-76.75820896,-13.47837563,7.690063,0,2.16218018896333
32.04455155,-1.6864014,-77.94598417,-11.215,58.824711,0,4.0914188030264
86.64566537,-13.62983289,-79.37268333,-9.38495,14.233244,0,2.72348014488225
23.31779984,-43.85442172,-79.79930875,-7.457,598.21876,0,6.39562674012413
42.5287495,-40.05551641,-80.2904038,-7.01599092,32.043174,0,3.4978150094141
7.541953078,-67.43519401,-79.82548138,-7.06608529,4.149625,0,1.63892389649048
8.535073431,-25.49784133,-76.76233333,-12.648645,2.943686,0,1.37211581896652
