Anho,Mes,DC,DSB,Lon,Lat,SST,SSS,SSO,Depth,Anch,Sard,Jur,Cab,Sam,Mun,Fvol,Bagr,Pota,Vinc,Camo,Micto,Euph,Pcin,water.type,watermass,num.card.ANC,prof.card.ANC
2008,11,28.4424223,-45.35654367,-80.06299386,-7.11216667,16.27,35.08,NA,NA,0,0,0,0,0,472.950205,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,26.57760058,-47.1188697,-80.04833333,-7.10333333,16.198,35.08,NA,NA,0,0,0,0,0,475.110568,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,24.74066861,-48.86265485,-80.03366202,-7.09483333,16.127,35.079,NA,NA,0,0,0,0,0,395.580661,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,22.91454008,-50.60917241,-80.01894594,-7.08644594,16.056,35.078,NA,NA,0,0,0,0,0,317.322309,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,21.09756255,-52.36049888,-80.00407049,-7.07823716,15.985,35.078,NA,NA,0,0,0,0,0,189.898908,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,19.30628748,-54.10406465,-79.98906465,-7.07033333,15.916,35.077,NA,NA,0,0,0,0,0,296.644132,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,17.52402873,-55.85449101,-79.974,-7.0625,15.846,35.076,NA,NA,0,0,0,0,0,165.201475,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,15.73800673,-57.63136576,-79.95911334,-7.05428,15.777,35.075,NA,NA,0,0,0,0,0,44.127772,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,13.98674175,-59.40250054,-79.94446891,-7.04598445,15.709,35.075,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,12.23828767,-61.17916163,-79.92966667,-7.03783333,15.641,35.074,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
