DC,DSB,Lon,Lat,SST,SSS,Anch
160.723784,51.01035188,-80.02611667,-9.55538333,20.40422837,35.148975,0
160.6990026,49.35648797,-80.03033333,-9.53880167,20.40184177,35.14930078,0
160.6679251,47.69101631,-80.03433333,-9.52200385,20.40073341,35.14978205,0
160.6404784,46.03318329,-80.03816667,-9.50514667,20.40104533,35.1503483,0
160.6031646,44.39670022,-80.04166667,-9.48840795,20.40218848,35.1509921,0
160.5666473,42.75801571,-80.045,-9.47150124,20.40147698,35.15171361,0
160.1027974,41.11926722,-80.04816667,-9.45442974,20.40032523,35.15250889,0
159.5096488,39.47660421,-80.05083333,-9.43787845,20.39565711,35.15333926,0
158.9396417,37.80747945,-80.05383333,-9.42077191,20.37604716,35.15425105,0
158.3493883,36.17332708,-80.05633333,-9.40395833,20.35582576,35.15519638,0
157.7756982,34.52956466,-80.059,-9.38672087,20.33576896,35.15621714,0
157.2476948,32.91400369,-80.062,-9.369285,20.31681679,35.15731274,0
156.92018,31.46121933,-80.06632292,-9.35284375,20.3041526,35.15846579,0
156.6071907,29.94689502,-80.07054917,-9.33645083,20.29182407,35.15969039,0
156.321197,28.41515741,-80.07483333,-9.32003773,20.28022111,35.16099771,0
156.0545541,26.88365323,-80.07916667,-9.30343631,20.26906613,35.16240033,0
154.956071,25.26180161,-80.07394083,-9.28977417,20.22572571,35.16291471,0
153.0652472,23.5709667,-80.05970455,-9.27903788,20.15632205,35.16239461,0
151.2170604,21.93087294,-80.04575458,-9.26858792,20.0898179,35.16171506,0
149.3820495,20.37114351,-80.0316525,-9.25883333,20.00435567,35.16082822,0
147.5459272,18.83938533,-80.01716667,-9.25,19.91033046,35.15961154,0
145.6772054,17.24209153,-80.00242,-9.241,19.81281846,35.1577641,0
143.7912589,15.69107731,-79.98723981,-9.23266667,19.71265406,35.15585017,0
141.9000138,14.20914024,-79.9720675,-9.22416667,19.61043115,35.15388294,0
140.0690721,12.63006586,-79.95835667,-9.21335667,19.50892537,35.15191652,0
138.302211,11.04437225,-79.94479966,-9.20373316,19.40928277,35.14997134,0
136.4839144,9.517402621,-79.93076792,-9.194,19.30488966,35.1479192,0
134.576323,8.187637029,-79.91564556,-9.18483333,19.19392294,35.14572402,0
132.7181087,6.900788062,-79.90072605,-9.17639272,19.08431331,35.14354303,0
130.802714,5.716684677,-79.885123,-9.16828966,19.00432515,35.14125637,0
128.9568707,4.636258598,-79.87007496,-9.1605,18.92909665,35.13900844,0
127.012446,-3.68231591,-79.853845,-9.15333333,18.86021486,35.13661756,0
125.1046985,2.565043764,-79.83793265,-9.14626598,18.80238392,35.13422895,0
123.1680836,1.969067514,-79.82186044,-9.13886044,18.74467765,35.13121203,0
121.2895109,-0.61617181,-79.80644856,-9.13116667,18.68999392,35.12780814,0
119.4132814,0.876609461,-79.79104527,-9.1235,18.63613403,35.12438841,0
117.5650432,-1.665302342,-79.77588812,-9.11588812,18.58390044,35.12099933,0
115.6165805,-2.337965044,-79.75985625,-9.108,18.52949125,35.11740657,0
113.7271619,3.59709938,-79.74442624,-9.1,18.5080884,35.11389734,92
111.8579451,-4.418111764,-79.72925397,-9.09179365,18.49293431,35.1104001,123
109.9723537,-5.800428799,-79.71400083,-9.08333417,18.47771132,35.10684682,231
108.0759425,-6.80367172,-79.6977523,-9.0775,18.4614852,35.10329795,291
106.9172794,-6.608110473,-79.68433333,-9.08411417,18.44800621,35.10130187,863
105.0396402,-8.287345987,-79.6695,-9.0747325,18.43323172,35.09771001,973
103.0827341,-9.807945205,-79.6538346,-9.06550127,18.41763534,35.09394961,1298
101.0780896,-11.78008102,-79.63883981,-9.05283333,18.40275375,35.08999643,803
99.27314473,-13.33165124,-79.62450418,-9.04383333,18.38851046,35.08646075,669
97.46485608,-14.83673746,-79.61008772,-9.03492105,18.3750067,35.08289611,1007
95.65812985,-16.39621936,-79.59558787,-9.02625454,18.36299306,35.07931638,592
93.84705773,-18.01007429,-79.58100289,-9.01766667,18.350787,35.07570666,300
92.02029319,-19.5401828,-79.5661708,-9.0093354,18.33950299,35.07205192,299
90.20002124,-21.08341706,-79.55133418,-9.00116667,18.32775342,35.06839126,334
88.39365161,-22.65133417,-79.53654839,-8.99321505,18.31484392,35.06474132,89
86.56370955,-24.26753128,-79.52150209,-8.98533543,18.30051987,35.06086642,9
84.74170527,-25.91078802,-79.50650256,-8.9775,18.28507899,35.05679906,5
82.9249835,-27.60306964,-79.49162958,-8.96933333,18.2685616,35.05280715,0
81.11024499,-29.31683759,-79.47675395,-8.96116667,18.25084419,35.04889272,0
79.29377013,-31.05114099,-79.46183914,-8.953,18.23070091,35.04504796,0
77.49709328,-32.79986206,-79.44713009,-8.94466667,18.20986233,35.04112656,0
75.6945466,-34.51741941,-79.4323371,-8.93633333,18.18863023,35.0370648,0
73.90196929,-36.23936031,-79.41761888,-8.92795221,18.16719101,35.03313784,0
72.10010109,-37.99951186,-79.40283626,-8.91933626,18.14530148,35.02929986,0
70.31530107,-39.73728971,-79.38808816,-8.91108816,18.12328891,35.02563073,0
68.51608452,-41.49850188,-79.37317008,-8.90283333,18.10076609,35.02205184,0
66.73423372,-43.26258298,-79.35838095,-8.89454762,18.07811436,35.01861911,0
64.93686415,-45.04103835,-79.34337965,-8.88637965,18.05494079,35.01527984,0
63.18291321,-46.7924388,-79.32871292,-8.87833333,18.03115749,35.01213122,0
61.39212217,-48.58727495,-79.31367823,-8.87017823,17.99796779,35.00903244,0
59.62568952,-50.36814012,-79.29879765,-8.86213098,17.9660588,35.00608865,0
57.86863824,-52.15772849,-79.28396255,-8.854,17.93266515,35.00327033,0
56.09396014,-53.9585701,-79.26887596,-8.84604263,17.89719287,35.00053879,0
54.32087411,-55.7739139,-79.25375309,-8.838,17.86003314,34.99792107,0
54.51066574,-55.66015511,-79.25555196,-8.83762604,17.86397942,34.99819468,0
54.7828659,-55.41831069,-79.2579604,-8.83829373,17.86974751,34.99858887,0
49.30501127,-61.29283792,-79.211045,-8.81037833,17.74303106,34.99196872,0
47.63271972,-63.12038618,-79.1965,-8.80171111,17.70026164,34.9906821,0
45.92454951,-64.93113238,-79.18145896,-8.79362563,17.64541708,34.98935283,0
44.25247429,-66.72938135,-79.16662366,-8.78545699,17.57460368,34.98803427,0
42.58340795,-68.53714209,-79.15166958,-8.77733333,17.50096048,34.98670028,0
40.92664917,-70.35555396,-79.13666667,-8.76916667,17.42466877,34.98535589,696
39.27429596,-72.16139598,-79.12154516,-8.76133333,17.34595089,34.98399894,1269
37.66415589,-73.94488149,-79.10662583,-8.75362583,17.26605181,34.98265477,1269
36.05959676,-75.74739525,-79.09154641,-8.74587974,17.18309134,34.98129102,4773
34.44500371,-77.56797513,-79.07625286,-8.73816667,17.09690021,34.97990377,3643
32.83293547,-79.39017102,-79.06104467,-8.730378,17.01127263,34.97851726,1191
31.26193806,-81.22081977,-79.04591855,-8.72241855,16.94652036,34.97713003,45
29.7828663,-83.06462372,-79.0312126,-8.71383333,16.87732512,34.97576535,19
28.36428698,-84.92144095,-79.01658417,-8.705,16.80842959,34.97439812,7
27.01615431,-86.76869563,-79.00208417,-8.69616667,16.74034064,34.97303575,0
25.39562215,-88.63028492,-78.98745958,-8.68729292,16.67175731,34.9716559,0
23.6014089,-90.49858106,-78.97283708,-8.67833708,16.60339467,34.97026885,0
21.83023683,-92.34973173,-78.95825375,-8.66958708,16.53515657,34.9688818,0
20.04389763,-94.16369519,-78.94379417,-8.66066667,16.4678717,34.96749693,0
18.26993857,-95.88598356,-78.92933333,-8.65183333,16.40061572,34.96610702,0
16.4617757,-97.64551263,-78.91460708,-8.64283333,16.33225794,34.96490919,0
14.63845351,-99.4140314,-78.89979419,-8.63412753,16.2658925,34.96381462,0
12.86335673,-101.2026502,-78.88469451,-8.62619451,16.21134426,34.96276881,0
11.14017782,-102.9734184,-78.86971322,-8.61866667,16.16023059,34.96175668,145
9.385456103,-104.7962521,-78.85419749,-8.61153082,16.10967417,34.96075752,249
7.549586979,-106.6155731,-78.83871231,-8.6045,16.06233099,34.9597671,2343
5.735018639,-108.4411587,-78.82317984,-8.5975,16.01799179,34.95877753,836
5.363466831,-108.2957324,-78.82665605,-8.58734395,16.05239037,34.95812793,590
5.436590354,-107.1695788,-78.83957683,-8.57642317,16.11741725,34.95770695,384
5.482220354,-106.0786747,-78.85237296,-8.56546038,16.17971331,34.95727908,250
5.490817745,-104.9920517,-78.86532963,-8.5545037,16.24018227,34.95685651,1036
5.468439571,-103.9242433,-78.87828629,-8.54366667,16.2981068,34.95644284,1583
5.473011961,-102.8842073,-78.89120403,-8.53279597,16.35359322,34.95602548,2296
5.220573396,-101.8433301,-78.90432749,-8.52200585,16.41062701,34.95562033,2151
5.045918238,-100.8222674,-78.91745309,-8.51133333,16.4866895,34.95522399,1761
4.830442529,-99.74057778,-78.93095148,-8.50104852,16.56279992,34.95534878,2140
4.836913881,-98.67911699,-78.94428507,-8.4908816,16.63666759,34.95562474,496
5.158723941,-97.62953553,-78.95774609,-8.48066667,16.70986548,34.95588993,593
5.530188437,-96.61617264,-78.97111963,-8.47038037,16.78138026,34.95612572,120
6.158370823,-95.62493839,-78.98449627,-8.4601704,16.85151914,34.95635053,179
7.135356917,-94.65488696,-78.99795062,-8.44988272,16.92074304,34.95655798,365
7.263587062,-94.93856826,-79.00166667,-8.43400912,16.89592956,34.95557818,384
7.428387794,-95.5387784,-79.003,-8.41716924,16.84679175,34.95433964,944
8.020853355,-95.89265601,-79.00433333,-8.4005871,16.79737552,34.95311879,188
8.914312834,-96.18264417,-79.005,-8.38375323,16.74403989,34.95182772,2645
8.652907247,-96.92349032,-79.00162991,-8.36762991,16.68216722,34.95030869,528
7.155694803,-97.87078815,-78.99612972,-8.35179639,16.61931854,34.9486721,916
9.14321045,-95.89918343,-79.01299958,-8.35866667,16.67987322,34.95038852,1457
11.0102908,-94.12626226,-79.02770781,-8.36716667,16.74712607,34.95210007,1163
12.87015754,-92.37959749,-79.04195134,-8.376618,16.82338405,34.95387228,7524
13.93380835,-90.62856981,-79.05616667,-8.38599667,16.92242602,34.9556533,7070
15.22248172,-88.85041619,-79.07083333,-8.39466667,17.01610413,34.95742411,190
16.66754767,-87.05271484,-79.08582446,-8.40283333,17.09891728,34.9591917,200
18.57976361,-84.84263835,-79.10445074,-8.41211741,17.18580314,34.96133521,3631
20.0525226,-83.13906887,-79.11837667,-8.42168833,17.24430848,34.96317975,417
21.63949417,-81.40050144,-79.13282877,-8.43049544,17.29241671,34.96501306,634
23.2734534,-79.66392819,-79.14736807,-8.439,17.32993186,34.96684203,207
24.96237754,-77.9155702,-79.16219923,-8.44669923,17.35804323,34.96863639,85
26.70298276,-76.1404765,-79.17732741,-8.45433333,17.40198065,34.97046157,133
28.47278855,-74.35695617,-79.19261947,-8.46166667,17.47046156,34.97228619,7928
30.24467013,-72.57789076,-79.2079101,-8.469,17.57240986,34.97412471,398
31.61946835,-71.04459342,-79.21882039,-8.48066019,17.65409163,34.9760423,955
33.33906842,-69.20515663,-79.23316419,-8.48933333,17.74267572,34.9776884,325
35.10053325,-67.34111268,-79.24778731,-8.49795398,17.8270758,34.97919861,222
36.86313019,-65.49170971,-79.2623676,-8.5063676,17.90553893,34.98070667,428
38.64448437,-63.63466874,-79.27705667,-8.51472333,17.97905605,34.98223377,1221
40.43114282,-61.77781213,-79.29170532,-8.52316667,18.04701752,34.98378682,950
42.21726328,-59.92786854,-79.30628488,-8.53161821,18.10924825,34.98535669,691
44.00231145,-58.08396009,-79.32078554,-8.54011887,18.16572456,34.98694689,539
45.79271765,-56.23830489,-79.33524898,-8.54874898,18.2003062,34.98856778,830
47.59448682,-54.38810638,-79.3497868,-8.55733333,18.20471188,34.99020752,422
49.4087564,-52.52733187,-79.3643267,-8.56616003,18.20792467,34.99189231,371
51.20794368,-50.69038678,-79.37878489,-8.57466667,18.21029331,34.99355918,884
53.05429122,-48.80937124,-79.39358229,-8.58341562,18.21164227,34.99528976,252
55.98624683,-45.81435428,-79.41637208,-8.59916667,18.21254914,34.99824173,107
57.79824185,-43.9778055,-79.43061731,-8.60828398,18.21531462,35.00003589,144
59.62896897,-42.13117382,-79.44520643,-8.61687309,18.21947906,35.00181177,91
61.45996342,-40.28777861,-79.45974895,-8.62554114,18.22444684,35.00361352,54
63.29960159,-38.44054179,-79.47445314,-8.63395314,18.23084039,35.00541569,8
65.15524746,-36.58067881,-79.48924708,-8.6425,18.2403843,35.00725805,4
66.99861796,-34.73683953,-79.50403958,-8.65070625,18.25134012,35.00926734,2
68.83515872,-32.90301292,-79.51878636,-8.65883333,18.26353539,35.01145889,5
68.96741822,-32.7709474,-79.51987339,-8.65935401,18.2644985,35.0116129,58
72.53234308,-29.21136635,-79.54945443,-8.67266667,18.29300555,35.01645741,1
74.2442419,-27.50685311,-79.56333333,-8.67987479,18.30783875,35.01909559,6
75.90184718,-25.89495757,-79.57491604,-8.69141604,18.32157955,35.02233861,2
77.74814924,-24.07863194,-79.58961727,-8.69978394,18.33991176,35.02544132,2
79.59293383,-22.28017128,-79.60408083,-8.70866667,18.3593676,35.02870425,1
81.41840996,-20.52224316,-79.61820593,-8.7178726,18.38114678,35.0320843,6
83.26102728,-18.7371111,-79.63241417,-8.7272475,18.40875502,35.03560276,133
85.09982146,-16.9109438,-79.64678769,-8.73612103,18.43782389,35.0391361,350
